ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
LBR,Liberia,SSA,Least Developed,27.0,35.0,20.0,38.0,22.0,50.0,36.0,31.0,26.0,13.0
MDG,Madagascar,SSA,Least Developed,66.0,67.0,65.0,72.0,47.0,89.0,84.0,74.0,59.0,32.0
MWI,Malawi,SSA,Least Developed,29.0,36.0,23.0,31.0,18.0,45.0,38.0,32.0,23.0,17.0
MDV,Maldives,SA,Less Developed,25.0,23.0,27.0,37.0,12.0,42.0,36.0,25.0,12.0,12.0
MLI,Mali,SSA,Least Developed,75.0,80.0,70.0,83.0,53.0,94.0,89.0,84.0,72.0,47.0
MRT,Mauritania,SSA,Least Developed,58.0,60.0,56.0,72.0,45.0,82.0,74.0,58.0,52.0,31.0
MNG,Mongolia,EAP,Less Developed,11.0,5.0,15.0,19.0,7.0,25.0,7.0,8.0,3.0,8.0
MNE,Montenegro,ECA,More Developed,8.0,6.0,9.0,12.0,5.0,25.0,5.0,6.0,1.0,1.0
MOZ,Mozambique,SSA,Least Developed,53.0,63.0,43.0,66.0,35.0,76.0,72.0,68.0,51.0,21.0
MMR,Myanmar,EAP,Least Developed,52.0,49.0,54.0,58.0,35.0,73.0,60.0,53.0,43.0,24.0
NAM,Namibia,SSA,Less Developed,34.0,35.0,32.0,35.0,32.0,39.0,43.0,35.0,36.0,18.0
NPL,Nepal,SA,Least Developed,15.0,15.0,15.0,17.0,14.0,20.0,18.0,15.0,12.0,7.0
NER,Niger,SSA,Least Developed,86.0,91.0,79.0,95.0,58.0,99.0,97.0,97.0,92.0,62.0
NGA,Nigeria,SSA,Less Developed,33.0,34.0,31.0,47.0,14.0,75.0,46.0,24.0,10.0,6.0
MKD,North Macedonia,ECA,More Developed,12.0,12.0,13.0,11.0,13.0,29.0,12.0,8.0,3.0,5.0
PAK,Pakistan,SA,Less Developed,46.0,54.0,38.0,54.0,31.0,75.0,57.0,45.0,31.0,14.0
