ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
LBR,Liberia,SSA,Least Developed,20.0,18.0,21.0,29.0,14.0,38.0,24.0,21.0,15.0,9.0
MDG,Madagascar,SSA,Least Developed,36.0,33.0,38.0,40.0,21.0,61.0,47.0,32.0,24.0,12.0
MWI,Malawi,SSA,Least Developed,8.0,8.0,8.0,8.0,5.0,14.0,9.0,8.0,6.0,4.0
MDV,Maldives,SA,Less Developed,4.0,4.0,4.0,6.0,0.0,6.0,6.0,4.0,2.0,0.0
MLI,Mali,SSA,Least Developed,59.0,63.0,55.0,68.0,32.0,83.0,77.0,67.0,51.0,29.0
MRT,Mauritania,SSA,Least Developed,41.0,42.0,40.0,52.0,28.0,62.0,51.0,40.0,31.0,17.0
MNG,Mongolia,EAP,Less Developed,4.0,3.0,5.0,4.0,4.0,6.0,3.0,5.0,3.0,5.0
MNE,Montenegro,ECA,More Developed,1.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0
MOZ,Mozambique,SSA,Least Developed,33.0,38.0,28.0,41.0,19.0,50.0,49.0,38.0,27.0,13.0
MMR,Myanmar,EAP,Least Developed,17.0,17.0,16.0,19.0,10.0,30.0,18.0,15.0,9.0,6.0
NAM,Namibia,SSA,Less Developed,12.0,12.0,11.0,13.0,10.0,16.0,16.0,9.0,13.0,3.0
NPL,Nepal,SA,Least Developed,4.0,4.0,4.0,5.0,4.0,6.0,7.0,4.0,2.0,1.0
NER,Niger,SSA,Least Developed,70.0,73.0,67.0,79.0,37.0,90.0,80.0,80.0,72.0,41.0
NGA,Nigeria,SSA,Less Developed,27.0,29.0,25.0,39.0,11.0,68.0,34.0,17.0,7.0,5.0
MKD,North Macedonia,ECA,More Developed,2.0,2.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0
PAK,Pakistan,SA,Less Developed,27.0,32.0,22.0,31.0,18.0,55.0,31.0,19.0,15.0,7.0
PAN,Panama,LAC,Less Developed,4.0,3.0,4.0,7.0,2.0,9.0,4.0,3.0,0.0,1.0
PRY,Paraguay,LAC,Less Developed,8.0,7.0,9.0,11.0,5.0,13.0,7.0,6.0,3.0,3.0
PER,Peru,LAC,Less Developed,7.0,7.0,7.0,9.0,6.0,13.0,7.0,6.0,4.0,3.0
PHL,Philippines,EAP,Less Developed,4.0,3.0,5.0,4.0,4.0,9.0,5.0,2.0,2.0,2.0
MDA,Republic of Moldova,ECA,More Developed,3.0,1.0,4.0,2.0,3.0,8.0,3.0,2.0,1.0,1.0
RWA,Rwanda,SSA,Least Developed,26.0,26.0,26.0,26.0,24.0,34.0,29.0,24.0,21.0,24.0
LCA,Saint Lucia,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0
STP,Sao Tome and Principe,SSA,Least Developed,8.0,7.0,9.0,11.0,7.0,15.0,12.0,6.0,7.0,2.0
SEN,Senegal,SSA,Least Developed,39.0,36.0,42.0,50.0,25.0,57.0,47.0,39.0,34.0,17.0
SRB,Serbia,ECA,More Developed,1.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
SLE,Sierra Leone,SSA,Least Developed,19.0,18.0,20.0,29.0,8.0,39.0,29.0,17.0,10.0,7.0
ZAF,South Africa,SSA,Less Developed,5.0,4.0,6.0,5.0,6.0,9.0,6.0,3.0,4.0,2.0
SSD,South Sudan,SSA,Least Developed,63.0,67.0,59.0,69.0,44.0,85.0,74.0,67.0,55.0,34.0
LKA,Sri Lanka,SA,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
PSE,State of Palestine,MENA,Less Developed,5.0,2.0,8.0,6.0,5.0,6.0,5.0,7.0,4.0,2.0
SDN,Sudan,SSA,Least Developed,21.0,25.0,16.0,26.0,8.0,33.0,31.0,22.0,11.0,3.0
SUR,Suriname,LAC,Less Developed,7.0,6.0,8.0,11.0,5.0,14.0,7.0,4.0,2.0,3.0
TJK,Tajikistan,ECA,Less Developed,3.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0
THA,Thailand,EAP,Less Developed,3.0,2.0,5.0,4.0,3.0,7.0,3.0,5.0,1.0,1.0
TLS,Timor-Leste,EAP,Least Developed,9.0,8.0,10.0,10.0,5.0,16.0,11.0,8.0,5.0,3.0
TGO,Togo,SSA,Least Developed,12.0,14.0,10.0,14.0,10.0,20.0,14.0,9.0,7.0,10.0
TON,Tonga,EAP,Less Developed,11.0,8.0,14.0,12.0,8.0,18.0,15.0,10.0,5.0,5.0
TTO,Trinidad and Tobago,LAC,Less Developed,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0
TUN,Tunisia,MENA,Less Developed,7.0,7.0,7.0,12.0,5.0,14.0,9.0,5.0,4.0,3.0
TUR,Turkey,ECA,Less Developed,3.0,3.0,2.0,3.0,2.0,6.0,2.0,1.0,2.0,0.0
TKM,Turkmenistan,ECA,Less Developed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UGA,Uganda,SSA,Least Developed,23.0,23.0,22.0,23.0,24.0,29.0,22.0,21.0,19.0,25.0
UKR,Ukraine,ECA,More Developed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
TZA,United Republic of Tanzania,SSA,Least Developed,57.0,58.0,56.0,62.0,46.0,77.0,67.0,61.0,44.0,44.0
URY,Uruguay,LAC,Less Developed,9.0,11.0,7.0,9.0,9.0,8.0,2.0,7.0,21.0,1.0
VNM,Viet Nam,EAP,Less Developed,6.0,6.0,6.0,7.0,3.0,16.0,5.0,3.0,2.0,1.0
YEM,Yemen,MENA,Least Developed,22.0,32.0,12.0,27.0,8.0,45.0,27.0,19.0,12.0,4.0
ZMB,Zambia,SSA,Least Developed,23.0,27.0,20.0,29.0,14.0,42.0,32.0,23.0,17.0,9.0
ZWE,Zimbabwe,SSA,Less Developed,19.0,16.0,22.0,22.0,9.0,28.0,24.0,16.0,14.0,5.0
