ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
SLE,Sierra Leone,SSA,Least Developed,36,40,31,54,21,66,55,39,26,15
ZAF,South Africa,SSA,Less Developed,16,17,15,15,16,26,14,17,12,7
SSD,South Sudan,SSA,Least Developed,60,68,51,66,44,82,77,68,49,38
LKA,Sri Lanka,SA,Less Developed,19,16,23,19,19,31,21,21,12,8
PSE,State of Palestine,MENA,Less Developed,25,16,34,26,25,34,24,32,23,14
SDN,Sudan,SSA,Least Developed,32,36,29,39,17,46,42,40,22,9
SUR,Suriname,LAC,Less Developed,24,18,30,35,20,42,29,21,16,10
TJK,Tajikistan,ECA,Less Developed,28,37,18,28,27,30,25,33,25,25
THA,Thailand,EAP,Less Developed,18,11,25,20,15,33,22,22,11,2
TLS,Timor-Leste,EAP,Least Developed,17,14,19,19,12,26,23,18,14,6
TGO,Togo,SSA,Least Developed,30,40,20,32,27,38,30,30,29,24
TON,Tonga,EAP,Less Developed,39,29,50,40,35,48,48,36,37,24
TTO,Trinidad and Tobago,LAC,Less Developed,10,8,12,10,10,18,9,11,6,7
TUN,Tunisia,MENA,Less Developed,27,21,33,41,20,47,36,24,16,8
TKM,Turkmenistan,ECA,Less Developed,1,1,1,1,1,2,1,0,1,1
UGA,Uganda,SSA,Least Developed,61,68,53,62,57,73,66,57,57,54
UKR,Ukraine,ECA,More Developed,2,1,2,4,0,6,3,0,0,0
TZA,United Republic of Tanzania,SSA,Least Developed,78,81,74,82,70,93,87,81,72,63
URY,Uruguay,LAC,Less Developed,21,15,27,27,21,41,8,28,19,17
VNM,Viet Nam,EAP,Less Developed,24,22,26,27,18,49,27,22,12,6
YEM,Yemen,MENA,Least Developed,41,54,28,48,26,66,51,41,33,21
ZMB,Zambia,SSA,Least Developed,52,61,44,58,46,73,59,51,50,36
ZWE,Zimbabwe,SSA,Less Developed,51,54,48,55,43,63,54,52,49,38
